41	37	49	35	16	54	22	22	15	20	27	30	48	56	53	62	22	32	32	26	52	62	44	9	42	53	44	36	26	62	31	34	12	32	20	60	35	9	47	12	24	45	36	58	57	46	62	29	61	5	39	44	43	30	24	46	32	29	33	54	12	29	42	34	56	62	60	23	12	30	57	61	60	57	36	15	37	19	20	49	44	3	9	52	46	42	41	25	47	27	4	54	8	34	3	25	30	46	49	39
3	12	61	61	13	4	12	4	22	45	37	10	14	49	32	56	50	29	43	34	41	14	5	30	50	50	24	30	19	48	39	2	29	27	0	17	13	15	42	27	19	41	57	56	51	58	55	41	52	48	18	1	50	54	5	59	33	10	16	62	27	41	25	59	41	39	34	19	31	60	43	36	46	6	18	9	60	52	45	44	4	37	2	55	20	17	33	21	27	42	18	25	62	44	43	56	9	53	47	6
22	1	38	22	39	33	29	7	3	7	23	34	53	41	45	31	1	62	49	46	21	30	18	40	33	1	38	57	44	34	49	56	26	57	53	12	51	61	40	9	10	48	23	49	41	39	17	19	41	1	59	18	40	48	35	19	4	35	59	51	61	15	53	26	8	23	56	51	20	57	27	21	50	54	24	59	18	38	54	24	35	36	60	6	10	33	36	26	61	1	56	46	59	11	11	24	35	6	6	53
23	48	4	4	9	31	40	31	14	16	5	3	51	2	43	59	43	17	34	48	40	15	39	30	49	3	3	18	55	54	33	18	28	49	29	24	27	48	57	58	35	12	43	18	4	50	34	55	46	32	31	31	38	50	5	36	50	41	0	22	42	37	29	30	37	0	0	19	0	43	57	10	5	30	3	7	12	51	12	25	37	20	4	36	2	18	0	50	30	55	1	12	62	22	35	8	11	53	36	9
16	16	42	62	59	52	7	5	11	11	55	22	45	19	28	46	44	39	47	61	47	48	48	25	49	5	14	49	32	24	14	59	45	3	22	10	36	1	15	1	3	36	24	1	1	2	32	10	12	3	16	12	5	52	2	30	26	31	11	5	37	46	31	37	27	7	9	31	46	24	1	1	25	2	1	33	62	25	28	29	12	1	3	25	34	50	46	14	39	6	6	15	1	1	38	11	40	24	28	19
42	36	62	45	47	19	46	22	36	15	59	24	28	44	41	41	30	18	31	48	54	26	23	47	52	55	22	3	1	4	3	22	10	9	19	46	59	15	12	53	39	6	22	9	23	48	59	58	60	19	50	27	11	36	8	38	19	31	3	62	43	21	29	45	36	49	42	53	34	14	57	31	56	56	20	3	4	19	12	53	61	5	49	62	6	25	12	60	34	44	9	21	20	31	43	8	10	62	20	9
40	16	3	33	61	57	4	48	1	1	14	60	1	19	52	47	44	23	56	60	2	52	10	14	16	12	26	48	14	13	15	58	46	2	13	38	25	62	9	17	29	28	60	1	2	2	7	4	16	3	20	25	6	54	2	62	24	59	38	61	19	41	25	59	52	4	3	36	55	61	2	1	37	1	2	4	5	33	28	35	12	29	21	14	20	4	57	8	43	16	19	34	2	1	38	42	9	19	43	7
55	16	17	33	29	58	38	5	18	17	14	20	20	19	44	47	45	26	47	20	4	4	3	1	3	5	58	4	36	3	46	59	36	3	17	25	36	19	46	55	42	4	6	1	1	2	32	4	4	4	14	12	24	58	2	6	40	11	11	62	32	46	43	29	27	5	5	29	46	53	1	1	25	1	1	16	8	2	2	1	44	8	20	10	28	46	46	15	38	3	60	62	1	1	38	51	24	24	30	60
24	57	55	38	50	41	14	31	55	34	44	35	8	42	25	49	3	37	52	29	38	39	7	47	10	25	12	46	20	46	3	19	12	31	33	12	47	29	43	48	52	42	56	26	29	37	27	36	62	22	40	42	40	30	24	1	16	29	1	3	17	16	33	4	62	25	16	45	26	10	58	44	1	60	56	21	26	53	11	32	51	1	28	62	38	58	58	51	21	32	27	53	55	42	33	24	58	10	13	29
1	31	26	39	20	56	13	26	9	9	32	1	18	22	58	29	1	46	26	13	38	17	57	52	41	9	38	55	45	43	20	12	55	26	16	19	50	31	20	33	27	26	20	7	36	58	62	35	61	20	14	26	45	1	38	22	60	46	38	0	46	13	50	51	8	30	27	0	21	34	27	56	60	36	22	61	62	29	10	60	29	22	57	15	28	34	47	1	11	12	31	39	46	5	11	10	35	14	6	23
48	29	48	3	23	4	41	36	47	52	52	42	46	48	18	4	20	39	44	56	26	52	25	33	18	52	52	22	14	56	8	4	30	22	19	48	4	48	54	29	40	19	36	60	57	18	4	3	16	50	11	60	45	54	5	55	42	25	11	48	51	36	25	15	26	39	19	53	51	49	5	24	31	20	3	5	60	7	23	31	44	11	55	26	39	1	1	14	24	57	14	25	16	13	40	49	7	52	57	6
51	50	56	41	7	60	22	60	57	25	28	14	10	51	47	24	60	54	13	25	50	30	34	21	35	24	23	46	48	38	11	55	54	57	56	62	61	12	38	14	46	26	17	28	26	7	25	46	13	36	14	46	56	62	56	59	30	61	27	50	3	19	7	9	39	11	60	57	59	38	51	44	50	61	60	47	24	24	31	60	30	56	26	49	61	59	49	61	21	10	54	19	20	6	53	58	45	8	17	39
